Nom de la gare;Code UIC;Total Voyageurs + Non voyageurs 2022;Total Voyageurs + Non voyageurs 2021;Total Voyageurs + Non voyageurs 2020;Total Voyageurs + Non voyageurs 2019
Marquixanes;784629;1783;1419;659;589
Marsac;597625;5114;4258;3458;6328
Massiac - Blesle;734871;35514;32339;24066;30084
Mehun-sur-Yèvre;576116;82908;48108;29672;46896
Melun;682005;13065160;13114808;7704662;15787310
Ménil Flin;141390;1946;1341;935;1094
Mesves - Bulcy;696187;3774;3720;3830;3183
Meyrargues;751370;45708;31202;29394;54518
Mézidon-Canon;444208;328362;256890;216733;308124
Milly-sur-Thérain;313700;9119;4557;4098;5878
Moirans La Galifette;747691;230312;184802;150195;254519
Monéteau - Gurgy;683557;13633;8713;11047;16007
Monistrol-d'Allier;734335;2661;2214;1472;1776
Monnerville;545111;21031;18798;11274;25461
Montaigut-le-Blanc;597674;1053;598;391;1341
Montbarrey;718866;724;383;343;811
Montdidier;313346;228634;186232;145743;198408
Monte-Carlo Country Club;338590;7624;0;88;340
Montendre;491183;52560;37979;23555;45974
Montereau;682302;2542109;3691637;1832996;3077612
Montescourt-Lizerolles;296418;16621;14903;10896;12805
Monthermé;172056;149345;146772;128766;119657
Montigny-en-Ostrevent;345306;167715;130158;119947;212644
Montmélian;741181;738790;538689;422866;637291
Montpaon;781534;412;180;115;268
Montreuil-sur-Ille;478032;388598;273218;241515;321550
Morannes;484170;34205;26525;19077;42135
Morbier;715433;9491;8355;5674;4844
Moret - Veneux-les-Sablons;682278;1186265;1502530;906114;1436155
Moreuil;313320;235426;187721;150582;192160
Morières-lès-Avignon;765420;32264;22663;17394;29589
Moulin Galant;681403;523046;459871;220315;633274
Munster Badischhof;386540;11620;12471;10721;11730
Muret;611038;1066310;956966;822253;920455
Mussidan;595298;219521;172763;141433;242059
Nangis;116095;883754;890213;474881;1070109
Nanteuil - Saâcy;116558;536532;549659;329888;675245
Naucelle;615732;38965;18026;15936;18942
Neau;478545;2919;3363;2608;4470
Nesle;313486;91953;70962;51058;72574
Neuillé-Pont-Pierre;571547;18288;14943;13053;15069
Neuilly-lès-Dijon;712182;2629;2260;3340;5242
Neuvic;595272;47633;33588;31255;33360
Nevers;696005;1278667;964653;699532;1096248
Niederbronn-les-Bains;213256;264158;189748;132099;160850
Nieppe;287151;66872;54514;53280;77174
